"日期","收盘","开盘","高","低","涨跌幅"
"2011年11月24日","1.0468","1.0473","1.0491","1.0436","-0.08%"
"2011年11月23日","1.0476","1.0386","1.0500","1.0374","0.93%"
"2011年11月22日","1.0379","1.0391","1.0412","1.0343","-0.02%"
"2011年11月21日","1.0381","1.0276","1.0419","1.0269","1.09%"
"2011年11月18日","1.0269","1.0283","1.0303","1.0197","-0.22%"
"2011年11月17日","1.0292","1.0238","1.0296","1.0206","0.55%"
"2011年11月16日","1.0236","1.0208","1.0288","1.0170","0.24%"
"2011年11月15日","1.0212","1.0162","1.0264","1.0157","0.48%"
"2011年11月14日","1.0163","1.0080","1.0195","1.0079","0.39%"
"2011年11月11日","1.0124","1.0171","1.0234","1.0106","-0.49%"
"2011年11月10日","1.0174","1.0237","1.0267","1.0164","-0.52%"
"2011年11月9日","1.0227","1.0093","1.0234","1.0076","1.35%"
"2011年11月8日","1.0091","1.0125","1.0183","1.0074","-0.39%"
"2011年11月7日","1.0131","1.0168","1.0205","1.0122","-0.57%"
"2011年11月4日","1.0189","1.0072","1.0229","1.0069","1.15%"
"2011年11月3日","1.0073","1.0134","1.0216","1.0053","-0.68%"
"2011年11月2日","1.0142","1.0192","1.0225","1.0107","-0.57%"
"2011年11月1日","1.0200","0.9997","1.0209","0.9972","2.04%"
"2011年10月31日","0.9996","0.9924","1.0027","0.9911","0.78%"
"2011年10月28日","0.9919","0.9920","0.9970","0.9893","0.12%"
"2011年10月27日","0.9907","1.0050","1.0052","0.9890","-1.34%"
"2011年10月26日","1.0042","1.0162","1.0179","1.0036","-1.21%"
"2011年10月25日","1.0165","1.0037","1.0213","0.9988","1.27%"
"2011年10月24日","1.0038","1.0094","1.0101","1.0019","-0.33%"
"2011年10月21日","1.0071","1.0157","1.0189","1.0065","-0.91%"
"2011年10月20日","1.0164","1.0198","1.0250","1.0132","-0.31%"
"2011年10月19日","1.0196","1.0158","1.0220","1.0085","0.43%"
"2011年10月18日","1.0152","1.0237","1.0267","1.0111","-0.78%"
"2011年10月17日","1.0232","1.0103","1.0242","1.0040","1.34%"
"2011年10月14日","1.0097","1.0212","1.0237","1.0095","-1.08%"
"2011年10月13日","1.0207","1.0184","1.0276","1.0163","0.30%"
"2011年10月12日","1.0176","1.0286","1.0330","1.0132","-1.09%"
"2011年10月11日","1.0288","1.0269","1.0341","1.0255","0.16%"
"2011年10月10日","1.0272","1.0382","1.0389","1.0251","-1.19%"
"2011年10月7日","1.0396","1.0377","1.0419","1.0232","0.17%"
"2011年10月6日","1.0378","1.0405","1.0486","1.0371","-0.31%"
"2011年10月5日","1.0410","1.0515","1.0574","1.0394","-1.10%"
"2011年10月4日","1.0526","1.0539","1.0659","1.0507","-0.20%"
"2011年10月3日","1.0547","1.0482","1.0549","1.0432","0.44%"
"2011年9月30日","1.0501","1.0370","1.0505","1.0353","1.40%"
"2011年9月29日","1.0356","1.0345","1.0402","1.0255","0.23%"
"2011年9月28日","1.0332","1.0208","1.0340","1.0192","1.33%"
"2011年9月27日","1.0196","1.0259","1.0282","1.0141","-0.56%"
"2011年9月26日","1.0253","1.0279","1.0388","1.0244","-0.26%"
"2011年9月23日","1.0280","1.0288","1.0349","1.0223","-0.02%"
"2011年9月22日","1.0282","1.0065","1.0362","1.0052","2.02%"
"2011年9月21日","1.0078","0.9925","1.0091","0.9917","1.59%"
"2011年9月20日","0.9920","0.9907","0.9950","0.9880","0.19%"
"2011年9月19日","0.9901","0.9813","0.9925","0.9805","1.26%"
"2011年9月16日","0.9778","0.9839","0.9861","0.9778","-0.59%"
"2011年9月15日","0.9836","0.9904","0.9950","0.9827","-0.69%"
"2011年9月14日","0.9904","0.9863","0.9943","0.9846","0.43%"
"2011年9月13日","0.9862","0.9919","0.9977","0.9848","-0.62%"
"2011年9月12日","0.9924","0.9980","1.0028","0.9913","-0.45%"
"2011年9月9日","0.9969","0.9892","0.9980","0.9868","0.80%"
"2011年9月8日","0.9890","0.9842","0.9901","0.9830","0.46%"
"2011年9月7日","0.9845","0.9902","0.9911","0.9831","-0.58%"
"2011年9月6日","0.9902","0.9900","0.9958","0.9864","0.01%"
"2011年9月5日","0.9901","0.9859","0.9933","0.9850","0.45%"
"2011年9月2日","0.9857","0.9763","0.9859","0.9754","0.99%"
